text,category
The national football team won a friendly match yesterday,0
The new player signed his contract with the club,0
The Asian volleyball championship has begun,0
The team won the championship title this season,0
The national wrestling coach resigned from his position,0
The runner broke the national sprint record,0
The basketball team qualified for the world championship,0
The football cup final will be held this week,0
The athlete won a gold medal at the Olympics,0
The national volleyball team started training today,0
The president visited construction projects during his provincial trip,1
Parliament reviewed the new budget bill,1
The foreign minister met with his counterpart for talks,1
Local elections will be held next month,1
The ambassador gave a speech at the international summit,1
The government announced a new administrative reform plan,1
A member of parliament raised a question in the session,1
The head of the judiciary met with judicial officials,1
Trade negotiations between the two countries are ongoing,1
The council approved the new law,1
The dollar exchange rate rose in the open market,2
The central bank announced a new interest rate,2
The stock market rose today with a strong index,2
Gold prices fell in the global market,2
The economy ministry released the monthly inflation report,2
Non-oil exports grew significantly this year,2
The unemployment rate decreased in the last quarter,2
Car prices increased in the market,2
Foreign investment in the oil industry increased,2
The country's GDP showed positive growth,2
